,ARKK,ARKK,ARKK,ARKK,ARKK,BITO,BITO,BITO,BITO,BITO,JPST,JPST,JPST,JPST,JPST,QQQ,QQQ,QQQ,QQQ,QQQ,VTI,VTI,VTI,VTI,VTI
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01 00:00:00-04:00,93.39,94.5,92.9201,94.5,2340706,,,,,,50.755,50.76,50.74,50.76,2667049,281.8,282.8794,279.84,282.26,44554843,171.72,172.25,170.61,171.73,2949234
2020-10-02 00:00:00-04:00,91.56,94.06,91.55,92.285,2526779,,,,,,50.75,50.76,50.74,50.75,2110774,276.01,282.2412,273.44,274.33,66448911,168.65,171.3073,168.23,170.34,2340896
2020-10-05 00:00:00-04:00,93.56,95.96,93.56,95.84,1745997,,,,,,50.76,50.76,50.75,50.755,2426589,276.34,280.49,276.23,280.32,24166799,171.61,173.53,171.33,173.46,2494106
2020-10-06 00:00:00-04:00,95.94,97.91,94.88,95.64,2516361,,,,,,50.76,50.77,50.74,50.75,4760784,279.29,281.19,274.25,275.15,43641201,173.73,174.98,171.01,171.31,2776243
2020-10-07 00:00:00-04:00,97.1,100.02,97.1,99.23,3121925,,,,,,50.75,50.77,50.75,50.77,2107722,277.83,280.74,277.28,280.11,24402450,172.99,174.729,172.94,174.31,1949237
2020-10-08 00:00:00-04:00,101.8599,101.8599,100.19,100.58,2507116,,,,,,50.76,50.78,50.76,50.775,2719870,282.32,282.47,280.31,281.47,22322405,175.53,175.89,174.88,175.89,2354772
2020-10-09 00:00:00-04:00,101.66,103.03,101.32,102.76,2694734,,,,,,50.77,50.78,50.77,50.775,2111153,283.09,285.79,282.71,285.72,26246569,176.9,177.6344,176.44,177.296,2465477
2020-10-12 00:00:00-04:00,104.77,105.0,102.26,102.3,3137927,,,,,,50.78,50.78,50.77,50.7799,1695904,290.6,297.46,289.47,294.52,74262342,178.65,180.64,178.4125,179.93,2946479
2020-10-13 00:00:00-04:00,102.62,105.2,102.16,104.81,3200358,,,,,,50.78,50.79,50.76,50.79,3085704,295.91,297.0496,293.11,294.43,50242339,179.66,179.82,178.4344,179.0,2322941
2020-10-14 00:00:00-04:00,105.65,106.15,103.5,103.78,3235176,,,,,,50.78,50.79,50.78,50.79,2071381,295.36,296.35,290.26,292.14,33088688,179.2,179.9226,177.49,177.88,2083353
2020-10-15 00:00:00-04:00,101.4,103.0767,101.12,102.8,2382438,,,,,,50.79,50.79,50.78,50.787,1800690,287.25,290.71,286.54,290.01,37964480,175.61,178.07,175.1601,177.8,2856026
2020-10-16 00:00:00-04:00,104.08,104.5,102.7001,102.76,2098911,,,,,,50.79,50.8,50.77,50.77,2393347,291.8,293.269,288.15,288.45,34740100,178.48,179.31,177.56,177.59,1882454
2020-10-19 00:00:00-04:00,104.11,104.55,101.86,102.235,2360052,,,,,,50.79,50.79,50.78,50.79,2498879,290.49,291.48,282.79,283.67,31879414,178.31,179.25,174.62,175.01,2639598
2020-10-20 00:00:00-04:00,102.84,103.28,100.75,100.8124,2195763,,,,,,50.8,50.8,50.7821,50.79,2115945,284.56,287.62,282.95,284.47,27676730,175.9,177.36,175.2401,175.59,2555923
2020-10-21 00:00:00-04:00,100.15,100.77,97.7,97.91,1954603,,,,,,50.8,50.8,50.79,50.8,1957933,284.67,287.32,283.76,284.19,21112342,175.66,176.715,175.02,175.06,2474977
2020-10-22 00:00:00-04:00,99.16,99.84,96.855,98.61,2333256,,,,,,50.8,50.8,50.79,50.795,1976564,285.05,285.98,280.82,284.26,28038079,175.33,176.56,174.12,176.26,3447629
2020-10-23 00:00:00-04:00,99.12,99.15,97.41,99.15,1827184,,,,,,50.8,50.8,50.79,50.795,1571012,284.79,284.91,281.7818,284.89,21485204,176.81,176.95,175.46,176.87,2420280
2020-10-26 00:00:00-04:00,98.16,99.84,95.8601,97.2228,2376898,,,,,,50.8,50.81,50.8,50.81,1951643,282.35,285.3,276.76,280.4,35865393,175.04,175.49,171.6,173.63,3909970
2020-10-27 00:00:00-04:00,98.0,98.9946,97.635,98.5828,1316201,,,,,,50.81,50.81,50.8,50.81,3032139,281.43,283.505,280.2,282.6,26687740,173.83,174.02,172.82,172.91,2536027
